SPF,valid,depth,inputs,outputs
"R(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 3, 0, 0, 0, 0, 0]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), S()), C(S(), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 11, 13, 15, 17, 19, 21]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), S()), C(C(S(), S()), S())))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 12, 13, 14, 15, 16, 17]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), S()))), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 8, 8, 7, 8, 9, 10]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[17, 14, 17, 20, 23, 26, 29]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 13, 20, 27, 34, 41, 48]"
"C(C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 7, 10, 13, 16, 19, 22]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(S(), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[9, 6, 9, 12, 15, 18, 21]"
"C(C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1))), C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 4, 5, 4, 5, 6, 7]"
"C(C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 5, 4, 5, 5, 5, 5]"
"C(C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))), R(C(C(S(), S()), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 1, 0, 1, 2, 3]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), Z())), C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 11, 17, 23, 29, 35, 41]"
"C(C(C(S(), R(Z(), P(2, 1))), R(Z(), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 1, 1, 1, 1, 2, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[18, 15, 18, 21, 24, 27, 30]"
"C(C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))), R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 2, 4, 6, 8, 10, 12]"
"C(C(S(), R(C(S(), Z()), P(2, 1))), C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 2, 1, 2, 3, 4]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), R(Z(), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 2, 2, 2, 2, 3, 4]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), S()), C(C(S(), S()), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[18, 18, 21, 24, 27, 30, 33]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))), C(S(), S()))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 0, 0, 0, 0, 0]"
"C(C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))), R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 3, 5, 7, 9, 11]"
"C(C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 0, 0, 0, 0, 1]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 20, 29, 38, 47, 56, 65]"
"C(C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 4, 4, 4, 5, 6, 7]"
"C(R(C(C(S(), S()), Z()), P(2, 1)), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 0, 2, 0, 1, 2]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(S(), S()), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[9, 9, 12, 15, 18, 21, 24]"
"R(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), Z()))), P(2, 1))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 0, 1, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[14, 14, 16, 18, 20, 22, 24]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), R(C(C(S(), S()), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 3, 5, 7, 9, 11, 13]"
"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(C(C(S(), S()), R(Z(), P(2, 1))), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 2, 2, 3, 4, 5, 6]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 11, 15, 19, 23, 27, 31]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 6, 7, 8, 9, 10, 11]"
"C(C(S(), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 2, 1, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 8, 10, 12, 14, 16, 18]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 1, 0, 1, 2, 3, 4]"
"C(C(S(), R(C(S(), Z()), P(2, 1))), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 2, 1, 2, 3]"
"C(C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 1, 1, 0, 1]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[12, 3, 3, 6, 9, 12, 15]"
"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 4, 1, 0, 0, 0, 0]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 0, 3, 3, 3, 3]"
"C(R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))), C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 0, 2, 0, 0, 1, 2]"
"C(R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 0, 2, 2, 2, 2]"
"C(C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 3, 4, 4, 4, 4, 4]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), R(Z(), P(2, 1)))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 5, 5, 5, 5, 5, 5]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 2, 2, 5, 8, 11, 14]"
"C(C(C(S(), R(Z(), P(2, 1))), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 1, 1, 2, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 3, 5, 7, 9]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(C(S(), S()), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 8, 11, 14, 17, 20, 23]"
"C(R(Z(), P(2, 1)), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 0, 0, 1, 2, 3]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 2, 2, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 17, 26, 35, 44, 53, 62]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 4, 6, 8, 10]"
"C(R(C(C(S(), S()), C(S(), Z())), P(2, 1)), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 3, 3, 0, 1, 2, 3]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), Z())), C(S(), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 1, 2, 3, 4, 5, 6]"
"C(C(C(C(S(), S()), S()), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 3, 3, 3, 3, 3, 3]"
"R(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), Z()))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 0, 0, 0, 0, 1, 2]"
"C(R(C(C(S(), S()), Z()), P(2, 1)), R(Z(), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 0, 1, 2, 3, 4]"
"R(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 3, 2, 1, 0, 1, 0]"
"R(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), Z()))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), P(2, 2)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 2, 0, 0, 0, 0, 0]"
"C(R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))), C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 3, 1, 2, 3, 4]"
"C(C(C(C(S(), S()), C(S(), S())), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 4, 4, 4, 4, 5, 6]"
"C(C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 4, 4, 4, 4, 3, 4]"
"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 1, 0, 1, 2, 3, 4]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(S(), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 6, 6, 9, 12, 15]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), Z())), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 0, 0, 0, 1, 2, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[21, 21, 21, 21, 21, 21, 21]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), R(Z(), P(2, 1)))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 5, 5, 5, 5, 5, 6]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 3, 3, 0, 0, 1, 2]"
"C(S(), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 1, 1, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 2, 1, 0, 0]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(C(S(), S()), S()))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 14, 17, 20, 23, 26, 29]"
"C(C(C(S(), S()), S()), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 5, 4, 3, 3, 3, 3]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), S()), C(C(S(), S()), S())))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[14, 16, 18, 20, 22, 24, 26]"
"C(R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 2, 2, 1, 0, 0, 0]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))), C(C(S(), S()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 2, 3, 4, 5, 6, 7]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(C(S(), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 6, 7, 8, 9, 10]"
"C(R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 3, 1, 2, 3]"
"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 2, 2, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 5, 2, 2, 2, 2, 2]"
"C(C(C(C(S(), S()), S()), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 3, 3, 3, 3, 4, 5]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), S()), C(C(S(), S()), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[12, 12, 13, 14, 15, 16, 17]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), Z())), C(R(Z(), P(2, 1)), P(2, 2)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 4, 3, 2, 1, 0, 0]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 3, 3, 0, 0, 1, 2]"
"C(R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 2, 2, 0, 0, 1, 2]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 5, 3, 5, 7, 9, 11]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), C(S(), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 5, 7, 9, 11, 13, 15]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 4, 2, 4, 6, 8, 10]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), S()), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[9, 9, 9, 11, 13, 15, 17]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 8, 8, 11, 14, 17, 20]"
"C(R(C(C(S(), S()), C(S(), Z())), P(2, 1)), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 3, 3, 3, 3, 3]"
"C(C(C(S(), R(Z(), P(2, 1))), R(Z(), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 1, 1, 2, 3, 4, 5]"
"R(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), Z()))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 8, 12, 16, 20, 24, 28]"
"C(C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 7, 9, 11, 13, 15, 17]"
"C(C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 4, 3, 4, 5]"
"C(C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 0, 1, 0, 1, 2]"
"C(C(C(S(), S()), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 3, 3, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), S()), C(S(), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[15, 15, 18, 21, 24, 27, 30]"
"C(C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 4, 5, 5, 5, 5, 5]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S()))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[18, 20, 22, 24, 26, 28, 30]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 4, 2, 0, 1, 1, 1]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 7, 6, 5, 5, 5, 5]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), R(C(S(), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 3, 5, 7, 9, 11, 13]"
"C(C(C(C(S(), S()), S()), C(S(), R(Z(), P(2, 1)))), R(C(C(S(), S()), C(S(), Z())), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 4, 4, 5, 6, 7, 8]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 4, 6, 8, 10, 12, 14]"
"C(C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 4, 7, 10, 13, 16, 19]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), S()))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[10, 7, 7, 8, 9, 10, 11]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), R(C(C(S(), S()), C(S(), Z())), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 2, 4, 6, 8, 10, 12]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[13, 13, 14, 15, 16, 17, 18]"
